claim_id,claim,impact,kind,epistemics,supported,reason,evidence_origins,evidence_urls,conflicts
aakash-gupta-identity,GitHub login 'aakashg' is the public profile of Aakash Gupta (3 attributes matched),NORMAL,PRESENCE,OBSERVATION,yes,meets independence rules,external_site;github_profile,https://github.com/aakashg;https://www.news.aakashg.com/p/you-should-build-a-pm-github,
aakash-gupta-aakashg-classification,aakashg/aakashg: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/aakashg;https://github.com/aakashg/aakashg/commits;https://github.com/aakashg/aakashg/tree/main;https://github.com/aakashg/aakashg#readme,
aakash-gupta-aakashg-no-tests,aakashg/aakashg contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/aakashg;https://github.com/aakashg/aakashg/commits;https://github.com/aakashg/aakashg/tree/main;https://github.com/aakashg/aakashg#readme,
aakash-gupta-awesome-ai-pm-classification,aakashg/awesome-ai-pm: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/awesome-ai-pm;https://github.com/aakashg/awesome-ai-pm/commits;https://github.com/aakashg/awesome-ai-pm/tree/main;https://github.com/aakashg/awesome-ai-pm#readme,"Commit author dates (14 commits, 2026-03-05..2026-09-04, all with :00 seconds) contradict page-1.json pushed_at 2026-03-03T22:22:16Z and the audit date 2026-07-16 — the appearance of months of steady curation ('days: 16' in the portfolio survey) is manufactured; the entire content was actually pushed by 2026-03-03.;README 'Weekly Reading List ... Updated regularly' conflicts with no pushes since 2026-03-03 (over 4 months before the audit date).;README structure: the 'Built and maintained by' footer sits mid-file (line ~424) with 10+ sections appended after it, consistent with automated section appends rather than edited placement.;Cross-repo: this README's Templates table says pm-prompt-library has '5 battle-tested prompts' while the profile README says '25 battle-tested AI prompts' for the same repo."
aakash-gupta-awesome-ai-pm-no-tests,aakashg/awesome-ai-pm contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/awesome-ai-pm;https://github.com/aakashg/awesome-ai-pm/commits;https://github.com/aakashg/awesome-ai-pm/tree/main;https://github.com/aakashg/awesome-ai-pm#readme,
aakash-gupta-claude-design-pm-toolkit-classification,aakashg/claude-design-pm-toolkit: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/claude-design-pm-toolkit;https://github.com/aakashg/claude-design-pm-toolkit/commits;https://github.com/aakashg/claude-design-pm-toolkit/tree/main;https://github.com/aakashg/claude-design-pm-toolkit/#readme,
aakash-gupta-claude-design-pm-toolkit-no-tests,aakashg/claude-design-pm-toolkit contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/claude-design-pm-toolkit;https://github.com/aakashg/claude-design-pm-toolkit/commits;https://github.com/aakashg/claude-design-pm-toolkit/tree/main;https://github.com/aakashg/claude-design-pm-toolkit/#readme,
aakash-gupta-claude-routines-and-agents-pm-pack-classification,aakashg/claude-routines-and-agents-pm-pack: primary classification EDUCATIONAL_OR_CURATED_VALUE (highest-priority label meeting its criteria: EDUCATIONAL_OR_CURATED_VALUE),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/claude-routines-and-agents-pm-pack;https://github.com/aakashg/claude-routines-and-agents-pm-pack/commits;https://github.com/aakashg/claude-routines-and-agents-pm-pack/tree/main;https://github.com/aakashg/claude-routines-and-agents-pm-pack/#readme,
aakash-gupta-claude-routines-and-agents-pm-pack-no-tests,aakashg/claude-routines-and-agents-pm-pack contains no test suite,NORMAL,ABSENCE,OBSERVATION,no,absence claim whose search coverage is recorded as incomplete,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/claude-routines-and-agents-pm-pack;https://github.com/aakashg/claude-routines-and-agents-pm-pack/commits;https://github.com/aakashg/claude-routines-and-agents-pm-pack/tree/main;https://github.com/aakashg/claude-routines-and-agents-pm-pack/#readme,
aakash-gupta-cups-task-classification,aakashg/cups-task: primary classification INSUFFICIENT_EVIDENCE (no classification criteria met with sufficient evidence),NORMAL,PRESENCE,INFERENCE,yes,meets independence rules,api_listing;commit_history;file_listing;readme,https://github.com/aakashg/cups-task;https://github.com/aakashg/cups-task/commits;https://github.com/aakashg/cups-task/tree/main;https://github.com/aakashg/cups-task/#readme,README 'Built With ... PEBL (Psychology Experiment Building Language)' has no visible PEBL artifact in the root listing (VB6 sources and .exe only; PEBL files may be inside the unexpanded material/ dir).
